STNAME,2008_DRP912,2008_DRP9,2008_DRP10,2008_DRP11,2008_DRP12,2008_DRPAM,2008_DRPAS,2008_DRPHI,2008_DRPBL,2008_DRPWH
alabama,2.1999988555908203,1.8999996185302732,2.399999618530273,2.5,1.7999992370605469,1.7999992370605469,1.0999994277954102,2.1999988555908203,2.1999988555908203,2.0999984741210938
alaska,7.299999237060548,4.299999237060547,5.799999237060548,9.0,10.399993896484377,12.199996948242188,6.8999977111816415,7.5,9.599998474121094,5.099998474121094
arizona,6.699996948242188,4.199996948242188,5.099998474121094,6.799999237060548,10.79999542236328,11.399993896484375,3.799999237060547,7.299999237060548,7.099998474121094,5.599998474121094
arkansas,4.699996948242188,2.799999237060547,4.199996948242188,5.699996948242188,6.299999237060548,4.8999977111816415,2.799999237060547,5.099998474121094,6.699996948242188,4.0
california,5.0,2.5,3.0,4.099998474121094,11.0,6.599998474121094,2.299999237060547,6.0,9.0,3.0999984741210938
colorado,6.3999977111816415,3.8999996185302734,4.799999237060547,7.199996948242188,10.199996948242188,11.29999542236328,3.799999237060547,12.099998474121096,10.599998474121094,3.8999996185302734
connecticut,2.799999237060547,2.5999984741210938,2.899999618530273,3.0999984741210938,2.6999988555908203,2.5,1.5,6.099998474121094,5.599998474121094,1.5999994277954102
delaware,6.0,6.299999237060548,6.3999977111816415,5.199996948242188,6.199996948242188,9.399993896484377,,8.199996948242188,7.6999969482421875,4.8999977111816415
district of columbia,5.5,5.699996948242188,5.8999977111816415,5.199996948242188,4.699996948242188,,,,,
florida,3.299999237060547,2.799999237060547,3.0,3.0999984741210938,3.5999984741210938,2.5,1.0999994277954102,3.69999885559082,4.699996948242188,2.0999984741210938
georgia,4.299999237060547,4.199996948242188,4.3999977111816415,4.199996948242188,3.0999984741210938,3.5999984741210938,1.2999992370605469,4.799999237060547,4.599998474121094,3.5999984741210938
hawaii,5.3999977111816415,3.69999885559082,6.199996948242188,5.799999237060548,6.3999977111816415,7.199996948242188,5.099998474121094,6.699996948242188,7.299999237060548,5.8999977111816415
idaho,2.0,1.0999994277954102,1.7999992370605469,2.299999237060547,2.899999618530273,2.299999237060547,1.1999998092651367,3.5,1.8999996185302732,1.7999992370605469
illinois,5.199996948242188,3.5999984741210938,4.299999237060547,4.199996948242188,5.699996948242188,3.799999237060547,1.6999998092651367,7.299999237060548,9.099998474121094,2.1999988555908203
indiana,1.6999998092651367,0.19999992847442627,0.7999997138977051,1.8999996185302732,4.3999977111816415,3.5999984741210938,0.6999998092651367,2.399999618530273,2.799999237060547,1.5999994277954102
iowa,2.899999618530273,0.7999997138977051,1.5999994277954102,3.1999988555908203,6.0,9.099998474121094,2.5999984741210938,6.099998474121094,6.199996948242188,2.5
kansas,2.5,1.1999998092651367,2.1999988555908203,3.0,3.69999885559082,3.8999996185302734,1.5,3.8999996185302734,3.5999984741210938,2.0999984741210938
kentucky,2.799999237060547,2.1999988555908203,3.299999237060547,3.1999988555908203,2.5,2.5,1.5999994277954102,4.599998474121094,4.799999237060547,2.399999618530273
louisiana,7.5,8.899993896484375,6.599998474121094,6.5,7.599998474121094,7.199996948242188,3.399999618530273,7.799999237060548,10.899993896484377,4.799999237060547
maine,4.3999977111816415,1.3999996185302734,2.5999984741210938,4.699996948242188,8.799995422363281,5.799999237060548,3.69999885559082,7.0,5.3999977111816415,4.299999237060547
maryland,3.5999984741210938,4.0,3.69999885559082,3.299999237060547,3.399999618530273,,,,,
massachusetts,3.399999618530273,3.0999984741210938,3.5999984741210938,3.399999618530273,3.69999885559082,7.5,2.0999984741210938,8.299995422363281,5.8999977111816415,2.299999237060547
michigan,6.199996948242188,4.699996948242188,6.5,6.099998474121094,7.8999977111816415,8.299995422363281,3.5999984741210938,10.29999542236328,12.599998474121096,4.299999237060547
minnesota,2.799999237060547,0.8999996185302734,1.5999994277954102,2.6999988555908203,5.8999977111816415,11.599998474121096,3.0999984741210938,7.5,7.099998474121094,1.7999992370605469
mississippi,4.599998474121094,3.5,4.3999977111816415,4.599998474121094,4.0,3.0,2.0,3.8999996185302734,5.599998474121094,3.5999984741210938
missouri,4.8999977111816415,5.299999237060547,4.599998474121094,5.0,4.799999237060547,3.69999885559082,2.6999988555908203,7.199996948242188,12.899993896484375,3.1999988555908203
montana,5.199996948242188,3.0999984741210938,5.099998474121094,6.199996948242188,6.599998474121094,11.699996948242188,4.099998474121094,6.5,6.299999237060548,4.3999977111816415
nebraska,2.5,1.2999992370605469,2.1999988555908203,2.799999237060547,3.5999984741210938,7.599998474121094,1.3999996185302734,4.799999237060547,6.0,1.7999992370605469
nevada,5.0,4.199996948242188,4.5,4.099998474121094,8.5,5.799999237060548,3.399999618530273,6.599998474121094,7.0,3.69999885559082
new hampshire,3.0,0.19999992847442627,1.3999996185302734,3.69999885559082,7.099998474121094,8.299995422363281,1.3999996185302734,3.0999984741210938,9.599998474121094,2.899999618530273
new jersey,1.6999998092651367,1.2999992370605469,1.5999994277954102,1.7999992370605469,1.8999996185302732,2.6999988555908203,0.5,3.0999984741210938,2.799999237060547,1.0
new mexico,5.199996948242188,4.8999977111816415,5.599998474121094,5.299999237060547,5.099998474121094,9.199996948242188,3.1999988555908203,5.299999237060547,5.8999977111816415,3.5
new york,3.8999996185302734,3.0999984741210938,4.199996948242188,3.8999996185302734,4.3999977111816415,5.699996948242188,2.399999618530273,6.099998474121094,6.199996948242188,2.399999618530273
north carolina,5.199996948242188,5.3999977111816415,5.5,5.5,4.299999237060547,7.6999969482421875,2.0,7.599998474121094,6.199996948242188,4.3999977111816415
north dakota,2.399999618530273,1.0,2.299999237060547,3.299999237060547,2.899999618530273,7.299999237060548,4.5,4.3999977111816415,3.8999996185302734,1.7999992370605469
ohio,4.299999237060547,4.599998474121094,3.0999984741210938,3.5999984741210938,5.8999977111816415,8.199996948242188,1.7999992370605469,8.5,10.099998474121094,2.899999618530273
oklahoma,3.0999984741210938,2.6999988555908203,3.0999984741210938,3.69999885559082,3.1999988555908203,3.299999237060547,2.299999237060547,5.199996948242188,3.5,2.799999237060547
oregon,3.799999237060547,1.3999996185302734,2.399999618530273,4.0,7.599998474121094,6.099998474121094,2.6999988555908203,6.699996948242188,7.8999977111816415,3.0999984741210938
pennsylvania,2.5999984741210938,1.8999996185302732,2.5999984741210938,2.6999988555908203,3.399999618530273,4.099998474121094,1.5999994277954102,6.8999977111816415,5.699996948242188,1.6999998092651367
rhode island,5.299999237060547,5.0,5.699996948242188,5.699996948242188,5.0,10.29999542236328,4.799999237060547,8.199996948242188,7.799999237060548,4.299999237060547
south carolina,3.8999996185302734,3.5,4.199996948242188,4.099998474121094,3.69999885559082,,1.7999992370605469,5.299999237060547,4.299999237060547,3.5
south dakota,2.299999237060547,1.5,2.399999618530273,2.399999618530273,2.899999618530273,9.899993896484377,2.0,4.0,2.399999618530273,1.3999996185302734
tennessee,3.8999996185302734,2.799999237060547,3.1999988555908203,4.199996948242188,5.799999237060548,4.699996948242188,2.0999984741210938,5.299999237060547,7.6999969482421875,2.5
texas,4.0,2.399999618530273,3.5999984741210938,3.299999237060547,7.5,3.1999988555908203,1.2999992370605469,5.299999237060547,6.299999237060548,1.7999992370605469
utah,4.199996948242188,1.3999996185302734,2.399999618530273,4.599998474121094,8.399993896484375,7.5,3.8999996185302734,8.0,6.599998474121094,3.399999618530273
vermont,,,,,,,,,,
virginia,2.6999988555908203,2.0999984741210938,2.299999237060547,2.6999988555908203,3.69999885559082,3.799999237060547,1.2999992370605469,5.3999977111816415,4.0,1.8999996185302732
washington,5.699996948242188,3.799999237060547,4.599998474121094,6.5,8.199996948242188,11.29999542236328,4.0,8.0,8.899993896484375,5.0
west virginia,4.3999977111816415,3.8999996185302734,4.3999977111816415,4.799999237060547,4.699996948242188,6.5,1.2999992370605469,3.799999237060547,5.0,4.3999977111816415
wisconsin,2.299999237060547,1.3999996185302734,1.0,2.0,5.0,5.799999237060548,2.0,5.3999977111816415,7.799999237060548,1.3999996185302734
wyoming,5.0,1.7999992370605469,6.0,5.8999977111816415,6.799999237060548,11.0,2.0,8.0,8.099998474121094,4.5
